name_2020,migration_net,population,male_20_34_p,enrolled_9_12_p,enrolled_college_p,enrolled_grad_p,occ_com_sci_math_p,occ_eng_p,mult_desktop_laptop_p,inc_50_74,inc_75_99,inc_100_149,inc_150_199,median_income,mean_income
"Cookeville, TN Micro Area",474,112480,11.11,4.3,7.68,0.91,0.43,1.03,28.43,17.3,9.8,9.9,3.2,42590,58884
"Coos Bay, OR Micro Area",359,64175,7.83,4.46,2.56,0.72,0.35,0.88,31.59,18.6,11.8,11.7,3.7,49445,67898
"Cordele, GA Micro Area",-84,22509,7.36,5.8,4.92,0.32,0.09,0.28,21.17,13.2,9.5,10.1,2.5,38272,64200
"Corinth, MS Micro Area",-177,37058,9.2,4.95,3.54,0.77,0.58,0.48,23.67,17.7,9.3,8.5,3.6,40938,56099
"Cornelia, GA Micro Area",344,45204,9.09,5.14,5.64,0.58,0.66,0.45,22.9,22.2,13.2,12.5,2.9,54147,67348
"Corning, NY Micro Area",-575,95843,8.77,4.98,2.82,0.59,0.81,2.06,31.45,18.8,13.1,14,5.3,55349,73190
"Corpus Christi, TX Metro Area",-1869,429120,10.89,5.48,5.16,0.68,0.49,1.04,24.37,18,12.5,14.8,5.8,56714,75451
"Corsicana, TX Micro Area",-101,49475,8.65,5.89,3.88,0.61,0.19,0.45,23.01,16.1,11.1,11.7,4.9,47574,67922
"Cortland, NY Micro Area",308,47618,11.28,4.83,11.99,1.1,0.64,0.84,30.27,18.8,14.5,15.7,4.6,59194,73800
"Corvallis, OR Metro Area",-29,92168,15.93,4.17,19,4.06,1.66,3.53,35.35,17.5,12,15.8,7.8,65142,87286
"Coshocton, OH Micro Area",-56,36558,8.15,4.92,2.13,0.98,0.37,0.38,25.64,20.7,12.3,10.4,2.7,48552,59598
"Craig, CO Micro Area",223,13150,11,4.8,2.24,1.07,0.3,0.74,29.36,14.9,13.7,14.2,6.2,54583,70616
"Crawfordsville, IN Micro Area",-55,38295,9.85,5.24,4.18,0.49,0.48,1.21,29.81,21.5,12.6,15,3.9,56408,71008
"Crescent City, CA Micro Area",-30,27692,11.61,6.14,2.76,0.49,0.51,0.97,27.5,15.7,12.4,14.7,3.6,49981,67290
"Crestview-Fort Walton Beach-Destin, FL Metro Area",1321,278479,11.68,4.56,4.07,1.2,1.25,2.34,31.73,18.7,14.3,16.7,6,65075,86066
"Crossville, TN Micro Area",157,60016,7.43,3.65,1.91,0.51,0.5,0.83,32.87,22.3,13.6,9,2.3,49423,61033
"Cullman, AL Micro Area",-197,83345,9,4.96,2.98,0.52,0.27,0.42,24.05,19.6,12.1,10.8,4.1,48388,62592
"Cullowhee, NC Micro Area",936,57676,11.29,4.02,12.47,1.08,0.65,0.58,26.76,19.2,11.5,10.9,2,46610,61834
"Cumberland, MD-WV Metro Area",-176,98049,10.94,4.11,6.61,0.97,0.54,0.77,27.53,21.2,13.2,10.7,3,50188,62414
"Dallas-Fort Worth-Arlington, TX Metro Area",32520,7451858,10.68,5.85,5.02,1.33,1.52,2.25,28.59,17.7,13.2,17.3,8.4,72882,100451
"Dalton, GA Metro Area",-590,143911,10.06,6.26,4.11,0.37,0.34,0.59,23.32,20.5,12.4,11.3,2.5,50322,66337
"Danville, IL Metro Area",-725,76704,9.11,5.42,3.27,0.6,0.31,0.54,26.61,18.3,11.4,12.2,3.2,46842,61679
"Danville, KY Micro Area",382,54583,9.67,4.92,5.58,0.49,0.53,0.59,25.43,18.9,10.5,11.7,3.3,47201,62294
"Danville, VA Micro Area",-268,101535,8.63,4.92,3.53,0.76,0.44,0.61,26.95,18.6,11.2,9.9,2.4,43113,57840
"Daphne-Fairhope-Foley, AL Metro Area",633,218289,8.06,4.92,3.39,0.55,0.5,1.79,29.93,16.8,13.7,15.5,5.8,61756,83626
"Davenport-Moline-Rock Island, IA-IL Metro Area",-1168,380274,9.14,5.18,4.13,1,0.75,1.55,30.27,19,13.4,15.9,5.5,59876,78172
"Dayton-Kettering, OH Metro Area",443,805929,10.08,4.97,6.28,1.58,0.91,2.2,31.74,18.2,13.3,14.3,5.7,57631,76393
"Dayton, TN Micro Area",-121,32964,9.4,5.01,4.4,1.08,0.15,0.8,24.55,16.1,12.2,11.1,4.1,46096,61694
"Decatur, AL Metro Area",147,152321,9.06,5.24,3.76,0.59,0.6,1.54,25.55,18.3,12.1,12.5,4.7,51842,68866
"Decatur, IL Metro Area",44,104688,8.75,4.97,3.63,0.73,0.48,1,29.63,19.2,12.4,12.2,4.6,53725,71534
"Decatur, IN Micro Area",-797,35544,8.99,4.65,2.26,0.44,0.3,0.6,22.53,20.7,14.4,13.1,2.9,52712,63958
"Defiance, OH Micro Area",-254,38024,9.19,5.38,4.43,0.47,0.38,0.85,30.62,22.2,15.5,15.5,4.6,62110,77037
"Del Rio, TX Micro Area",621,49018,12.94,6.5,4.02,0.74,0.46,0.59,20.39,18,10.9,12.9,4.6,47675,61529
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",1987,658961,8.56,4.39,5.03,0.78,0.69,1.29,31.48,19.4,12.6,13.2,3.9,53339,72036
"Deming, NM Micro Area",-375,24022,9.7,4.59,2,0.43,0.07,0.56,17.28,16,9.1,6.8,0.7,32251,45460
"Denver-Aurora-Lakewood, CO Metro Area",22245,2928437,11.63,5.16,4.28,1.48,1.61,2.77,32.46,16.9,13.5,19.6,10,83289,110927
"DeRidder, LA Micro Area",340,37387,11,5.69,2.86,0.49,0.2,0.31,26.62,14.3,11.7,13.9,6.5,49256,68482
"Des Moines-West Des Moines, IA Metro Area",3143,690585,10.39,5.41,4.05,1.12,1.2,1.18,31.65,18.6,14.3,18.4,7.8,71734,92399
"Detroit-Warren-Dearborn, MI Metro Area",1186,4317384,9.86,5.41,4.71,1.25,1.07,3.08,30.73,16.8,12.6,15.6,7.1,62768,86708
"Dickinson, ND Micro Area",230,32050,11.7,4.27,3.83,0.32,0.45,1.28,29.58,20.8,11.4,20.2,6.7,69368,92433
"Dixon, IL Micro Area",79,34204,10.37,5.23,3.3,0.39,0.38,0.61,28.37,18.1,15.2,13.6,6.1,59986,72945
"Dodge City, KS Micro Area",382,33718,11.4,6.72,4.07,0.48,0.26,0.49,20.79,20.2,13.6,11.9,5.4,53743,71442
"Dothan, AL Metro Area",-1168,148825,8.63,4.99,3.92,0.85,0.49,0.79,24.43,16.8,11.9,12,4.1,47608,66342
"Douglas, GA Micro Area",-742,51381,10.82,5.94,4.2,0.69,0.21,0.36,21.03,17.9,9,9.1,3.4,41568,55264
"Dover, DE Metro Area",215,179124,10.38,4.69,6.39,1.44,0.58,0.75,28.97,19.6,14.1,15.6,5.5,60117,74310
"Dublin, GA Micro Area",-808,63908,9.08,5.25,3.38,0.93,0.33,0.47,21.51,15.6,10.6,8.7,2.6,39364,59019
"DuBois, PA Micro Area",263,79466,10.01,4.18,2.52,0.5,0.5,0.78,27.69,21.4,12.3,11.9,2.8,50150,62106
"Dubuque, IA Metro Area",-208,97193,9.86,5.3,5.55,1.06,1.08,1.74,30.52,18.2,16,17.5,4.5,64493,85191
"Duluth, MN-WI Metro Area",-112,289276,10.17,4.57,6.83,1.19,0.63,1.17,32.25,18.9,13.1,16.4,4.9,58729,75001
"Dumas, TX Micro Area",-713,21169,11.01,6.24,2.41,0.41,0.38,0.94,19.49,24.7,12.9,12.8,3.4,53967,66733
"Duncan, OK Micro Area",-358,43401,8.37,5.71,2.35,0.42,0.26,0.65,25.22,20.6,12.6,10.6,4.8,51156,65084
"Durango, CO Micro Area",-50,56138,9.94,4.46,5.79,1.16,1.36,1.65,31.23,16.6,13.7,17.2,8.5,69291,93814
"Durant, OK Micro Area",-1,47325,10.5,5.17,5.74,0.8,0.49,0.29,24.43,20.4,10.6,10.7,3.5,47175,64480
"Durham-Chapel Hill, NC Metro Area",3617,636256,10.9,5.01,7.43,3.12,1.75,2.17,32.41,17.1,12.5,15.2,7.2,64745,93338
"Dyersburg, TN Micro Area",-84,37201,9.03,4.94,3.75,0.41,0.31,0.64,27.34,17.9,9.4,11.2,2.6,45042,70060
"Eagle Pass, TX Micro Area",254,58098,11.65,7.91,3.73,0.26,0.4,1.12,15.22,16,11.7,11.3,2.8,41385,55806
"East Stroudsburg, PA Metro Area",315,168824,9.57,6.1,5.06,1.09,0.67,1.03,29.25,19,15.3,17.7,6.8,68734,86224
"Easton, MD Micro Area",-295,37087,6.5,4.66,3.68,0.87,1.04,2.04,36.66,17.6,14.9,16.7,6.1,73102,108671
"Eau Claire, WI Metro Area",568,168307,11.5,4.67,8.39,0.73,0.85,0.83,31.96,19.1,14.3,17.8,4.5,62031,79315
"Edwards, CO Micro Area",300,54960,11.63,5.49,3.09,1.04,1.43,1.49,27.09,14.2,14.3,19.2,9.5,85877,125695
"Effingham, IL Micro Area",-21,34151,10.04,4.85,3.29,0.58,0.42,1.24,29.52,20.5,12.4,14.8,5.8,59932,82319
"El Campo, TX Micro Area",-397,41672,9.34,6.15,4.33,0.32,0.17,0.6,21.77,17,10.5,15.3,6,51770,72687
"El Centro, CA Metro Area",-794,180580,12.41,7.61,6.57,0.75,0.28,0.66,16.78,14.8,12.3,12.9,3.6,46222,63824
"El Dorado, AR Micro Area",-196,39089,8.71,5.66,3.62,0.69,0.69,0.88,25.11,15.5,10.9,11.4,4.8,45293,64800
"El Paso, TX Metro Area",1392,841602,12.39,6.27,7.42,1.56,0.63,1.21,23.05,18.8,11.1,11.8,4,48193,64952
"Elizabeth City, NC Micro Area",37,53288,8.91,4.56,6.24,0.68,0.79,0.95,27.43,18.4,14.4,13.8,4.7,53255,67987
"Elizabethtown-Fort Knox, KY Metro Area",1534,152275,10.4,5.26,4.22,0.83,0.78,0.62,28.55,19,14.4,14.8,4.4,56680,75605
"Elk City, OK Micro Area",293,21860,12.74,6.59,2.74,0.67,0.71,0.62,22.7,14.2,13.6,13.9,4.2,47095,64704
"Elkhart-Goshen, IN Metro Area",-157,205184,9.74,5.81,2.99,0.31,0.39,0.58,25.13,20.4,14.2,14.9,4.6,58509,73647
"Elkins, WV Micro Area",-162,28763,9.81,4.11,2.92,0.23,0.21,0.58,23.22,18.1,10.7,9.8,3.6,45206,62154
"Elko, NV Micro Area",512,54376,10.69,5.84,3.61,1,0.33,0.98,27.23,14.3,16.4,23.3,8.8,79274,89758
"Ellensburg, WA Micro Area",1923,47097,14.25,3.89,17.24,1.29,0.87,1.21,34.68,17.4,13.4,14.6,6.5,59703,78474
"Elmira, NY Metro Area",-1173,84115,9.99,4.99,3.66,0.5,0.37,1.35,30.32,18.9,14.1,13.4,4.6,54883,72456
"Emporia, KS Micro Area",43,35841,11.37,4.7,10.91,1.33,0.36,0.38,29.9,19.8,14.6,10.1,3.1,50070,65867
"Enid, OK Metro Area",325,61555,10.63,5.5,2.98,0.99,0.2,0.75,26.93,23.2,11.1,14.5,4.2,55435,70806
"Enterprise, AL Micro Area",-15,52238,9.62,5.77,4.01,0.87,0.52,1,27.28,18.7,12.8,14.9,5.7,56799,70669
"Erie, PA Metro Area",505,272046,10.08,4.7,5.44,1.35,0.8,1.25,29.89,18.8,12.2,13.3,4.4,52863,70505
"Escanaba, MI Micro Area",-189,35874,7.72,5.46,2.27,0.34,0.28,0.96,31.16,18.7,12.2,11.3,3.2,47008,61965
"Española, NM Micro Area",-133,38962,8.5,5.13,2.88,0.33,0.94,1.11,18.65,16.1,9.3,8.2,6.4,42264,59547
"Eufaula, AL-GA Micro Area",67,27316,12.85,5.37,3.5,0.4,0.15,0.52,19.23,16.4,7.1,8.5,2.3,34923,51784
"Eugene-Springfield, OR Metro Area",1787,377749,11.46,4.38,7.87,1.38,0.64,0.87,33.95,17.7,13.5,13.8,4.5,54942,74025
"Eureka-Arcata, CA Micro Area",677,136101,11.43,4.16,8.71,1.31,0.59,1.07,31.3,16.5,11.2,12.4,4.8,49235,70922
"Evanston, WY Micro Area",-147,20374,8.69,6.45,2.67,0.23,0.52,0.44,30.66,15.4,21,17.7,5.9,72458,77287
"Evansville, IN-KY Metro Area",2292,315186,9.55,5.04,4.81,0.85,0.77,1.15,30.28,18.4,13.9,13.9,5.1,55553,76089
"Fairbanks, AK Metro Area",443,98455,16.77,4.21,6.97,1.72,0.51,1.45,31.07,19.8,14.4,19.3,9.3,76464,98769
"Fairfield, IA Micro Area",43,18153,11.85,3.87,4.33,4.39,3.8,0.84,29.73,19.1,11.6,12.3,1.4,47401,69644
"Fairmont, MN Micro Area",55,19737,8.27,4.77,2.47,0.33,0.44,0.64,30.31,18.9,14.1,13.4,3.4,53851,70840
"Fairmont, WV Micro Area",342,56233,10.21,4.22,5.65,1.02,0.44,0.9,29.05,19.1,14.2,12.9,4.1,52856,66753
"Fallon, NV Micro Area",-335,24606,10.68,4.68,3.78,0.5,1.02,0.34,32.04,15.5,16.5,15.2,4,56335,69100
"Fargo, ND-MN Metro Area",62,243966,13.84,4.31,9.33,1.98,0.97,1.26,34.58,18.9,14.4,16.9,6.2,65995,86531
"Faribault-Northfield, MN Micro Area",52,66549,11.54,4.85,11.2,0.78,0.61,1.02,26.7,18,15,20,6.3,70600,87167
"Farmington, MO Micro Area",177,66653,12.42,5.59,2.72,0.78,0.17,0.32,24.43,18.2,12.3,11.6,2.6,46307,60528
"Farmington, NM Metro Area",-938,125608,10.01,5.72,4.92,0.73,0.21,0.83,22.44,18,11.9,11.8,4.7,47643,63187
"Fayetteville-Springdale-Rogers, AR Metro Area",780,526101,11.66,5.36,6.16,1.16,1.33,1.66,28.94,19,13.5,14.5,5.7,61761,87521
"Fayetteville, NC Metro Area",3023,523480,13.69,5.28,7.2,1.53,0.66,0.55,28.06,19.5,12.6,11.7,3.7,50133,63957
"Fergus Falls, MN Micro Area",-262,58416,7.5,4.74,2.16,0.58,0.47,0.92,30.89,18.1,15.2,15.4,4.7,59456,76115
"Fernley, NV Micro Area",-87,55667,8.78,4.71,2.71,0.58,0.38,0.88,30.6,21.2,15.1,15.7,3.8,58814,72788
"Findlay, OH Micro Area",-304,75765,10.19,4.9,4.86,1.31,0.92,1.89,33.75,19.7,13,14.5,5.1,57384,77217
"Fitzgerald, GA Micro Area",-312,16889,7.17,7.57,2.41,0.41,0.4,0.11,22.38,13.7,6.9,7.7,1.5,32077,44858
"Flagstaff, AZ Metro Area",362,142254,13.58,4.37,15.99,2.01,0.7,1.3,26.74,19.6,13.2,13.7,6.1,59000,77748
"Flint, MI Metro Area",-888,406770,9.12,5.63,3.97,0.84,0.49,1.14,30.06,19.2,10.9,11.9,4.7,50269,69011
"Florence-Muscle Shoals, AL Metro Area",947,147827,9.71,4.51,5.63,0.67,0.6,0.75,26.62,18.1,12.9,11.8,3.5,48244,64397
"Florence, SC Metro Area",-522,205095,8.86,5.42,4.8,0.94,0.55,0.84,24.97,18,9.4,11.7,4.2,45037,63618
"Fond du Lac, WI Metro Area",44,102654,8.97,4.94,4.8,0.59,0.45,1.13,32.05,20.7,14.9,18.8,5.2,64147,79146
"Forest City, NC Micro Area",554,66741,7.84,4.65,3.2,0.53,0.32,0.5,27.85,18.5,10.4,7.9,1.8,43183,57997
"Forrest City, AR Micro Area",-406,25477,13.02,5.78,2.52,0.43,0.05,0.74,17.38,15.2,7.5,5.4,2.1,36053,50355
"Fort Collins, CO Metro Area",2042,350523,13.11,4.69,9.79,2,1.67,2.97,34.36,16.5,14.8,18.4,9.1,76366,97178
"Fort Dodge, IA Micro Area",212,36348,11.47,4.74,5.42,0.73,0.38,0.61,29.17,21,12.4,12.4,3.8,51909,65110
"Fort Leonard Wood, MO Micro Area",3543,52359,19.53,7.31,7.29,2.04,0.55,1.08,23.17,22.5,13.5,16.3,3.1,58426,68486
"Fort Madison-Keokuk, IA-IL-MO Micro Area",-153,58549,8.5,4.75,3.04,0.33,0.26,0.53,28.9,20.9,13.8,11.5,3.7,52463,67192
"Fort Morgan, CO Micro Area",353,28617,10.25,6.12,2.3,0.55,0.32,0.33,26.17,26,12.4,12.6,4,58468,65844
"Fort Payne, AL Micro Area",-12,71430,8.95,5.33,3.55,0.3,0.23,0.38,23.38,18.8,10.6,9.3,2.3,42267,58198
"Fort Polk South, LA Micro Area",99,49315,16.9,4.83,4.83,0.91,0.5,0.56,25.45,20.2,12.7,11.5,3.7,50267,64475
"Fort Smith, AR-OK Metro Area",206,250260,9.59,5.12,3.79,0.61,0.49,0.76,25.2,18.2,11.5,11.3,2.9,46424,65291
"Fort Wayne, IN Metro Area",1435,409419,10.04,5.62,4.29,0.91,0.88,1.2,30.49,20.2,14.2,13.8,4.8,57693,75286
"Frankfort, IN Micro Area",-103,32186,9.02,6.41,2.81,0.22,0.11,0.31,23.89,21.1,16.4,12.1,2.9,53750,63812
"Frankfort, KY Micro Area",266,73324,9.65,4.86,4.29,1.05,1.34,0.69,29.88,18.9,16.1,14.3,4,57673,73483
"Fredericksburg, TX Micro Area",-100,26668,6.45,4.67,1.43,0.41,0.48,1.64,30.82,19.3,11.4,15.5,6.4,61445,84771
"Freeport, IL Micro Area",-441,44683,8.18,4.46,3.18,0.42,0.52,0.69,32.22,20.2,11.2,12.5,3.8,50466,64587
"Fremont, NE Micro Area",-135,36565,9.15,5.03,4.85,0.84,0.25,0.21,30.71,18.8,17.9,13.7,4.3,58439,71296
"Fremont, OH Micro Area",-416,58801,8.41,5.48,3.37,0.43,0.18,0.81,29.38,21.8,13.3,12.9,3.9,55245,69832
"Fresno, CA Metro Area",1932,990204,11.52,6.34,6.49,1.03,0.41,0.72,22.47,17.1,12.1,14.2,6.3,57109,79175
"Gadsden, AL Metro Area",-289,102721,8.83,5.38,3.85,0.46,0.29,0.47,24.28,16.8,11.5,11.5,3.4,44934,61229
"Gaffney, SC Micro Area",178,57110,9.32,4.95,4.19,0.86,0.31,0.44,22.77,15.4,9.9,8.9,2.7,37787,52494
"Gainesville, FL Metro Area",-376,327329,14.12,3.67,13.6,4.09,0.93,1.87,30.44,17.5,10.4,11.3,4.3,47848,69779
"Gainesville, GA Metro Area",977,201434,10.02,5.62,4.24,0.69,0.67,0.88,25.78,19,14.1,16,6.5,63651,88046
"Gainesville, TX Micro Area",808,40428,9.09,5.69,3.94,0.52,0.64,0.68,26.01,16.9,13.9,15.7,6.1,62733,83239
"Galesburg, IL Micro Area",-149,50052,10.11,4.54,6.34,0.55,0.54,0.49,26.73,17.9,11.9,10.8,3.3,44464,59562
"Gallup, NM Micro Area",40,71956,10.86,6.14,3.74,0.57,0.2,0.45,13.32,15.3,10.4,8.5,1.9,36179,51712
"Garden City, KS Micro Area",-790,40314,11,6.54,4.82,0.65,0.08,0.3,22.82,19.3,15.8,16.6,4.4,58059,70813
"Gardnerville Ranchos, NV Micro Area",176,48486,7.12,4.29,3.37,0.67,0.92,2.29,37.36,20.2,15.9,16.1,8.2,71415,97251
"Georgetown, SC Micro Area",611,62150,7.15,4.66,3.13,0.75,0.28,1.84,31.28,17.1,11.3,12.9,5.1,52488,79610
"Gettysburg, PA Metro Area",-533,102627,8.8,4.55,5.41,0.77,0.76,0.78,29.78,18.8,15.6,19.5,6,68411,82215
"Gillette, WY Micro Area",-200,61402,10.12,5.38,3.07,1.06,0.14,0.88,30.17,14.9,17.5,20.6,8.3,76735,83455
"Glasgow, KY Micro Area",-105,54088,8.6,4.88,2.57,0.58,0.14,0.35,25.8,17.5,9.4,7.8,2.4,41425,54038
"Glens Falls, NY Metro Area",-108,125491,9.28,4.68,2.96,0.71,0.75,1.07,32.13,19.5,13.3,17.4,5.7,62284,79544
"Glenwood Springs, CO Micro Area",194,77585,10.12,5.03,3.11,0.88,0.86,1.31,29.08,21.3,16.3,19.2,8.1,77448,104727
"Gloversville, NY Micro Area",-433,53452,9.08,4.67,3.69,0.59,0.42,0.61,26.88,17.8,12.8,13.8,3.8,51663,69513
"Goldsboro, NC Metro Area",-219,123785,10.79,5.61,5.42,0.85,0.4,0.42,27.2,18.9,10.9,11.8,2.8,47221,65694
"Granbury, TX Micro Area",690,60025,7.31,4.41,2.77,0.67,0.99,1.54,32.08,16.1,14.3,18.9,7.8,71253,91189
"Grand Forks, ND-MN Metro Area",300,101627,14.83,4.01,11.54,1.71,0.53,0.85,33.54,16.7,13.6,15.6,4.8,55122,72339
"Grand Island, NE Metro Area",-695,75592,9.37,5.91,2.56,0.65,0.27,0.57,27.59,20.1,14.6,13.8,4.5,57938,73704
"Grand Junction, CO Metro Area",-191,152962,9.96,4.98,5.37,0.83,0.65,1.23,31.64,18.2,14.4,13.8,5.1,57157,72683
"Grand Rapids-Kentwood, MI Metro Area",2217,1069696,11.11,5.4,5.71,1.05,0.91,1.57,29.5,19.7,14.6,16.9,6.1,66297,86260
"Grand Rapids, MN Micro Area",-545,45180,7.28,5.15,3.45,0.5,0.38,1.19,31.5,19.9,12.4,15.1,4.9,55744,70937
"Grants Pass, OR Metro Area",28,87097,7.93,4.71,3.47,0.46,0.21,0.78,32.48,19.2,12,10.8,3.2,47733,65425
"Grants, NM Micro Area",482,26763,11.27,5.68,3.13,1.45,0.14,0.71,18.19,19.3,10.4,12,3.4,44731,57941
"Great Bend, KS Micro Area",-590,26209,9.5,5.23,3.41,0.62,0.34,0.87,26.93,18.9,11.8,11.8,4.1,48863,63924
"Great Falls, MT Metro Area",277,81576,11.48,4.63,3.79,0.94,0.55,0.94,31.14,19.6,12.1,12.5,4.3,52049,70038
"Greeley, CO Metro Area",3092,315389,11.04,5.52,5.51,1.06,0.87,1.32,26.7,18.1,14.9,20.7,7.7,74332,92838
"Green Bay, WI Metro Area",773,320827,9.7,5.25,4.9,0.87,0.85,1.23,31.71,19.4,15,17.6,5.3,64951,82285
"Greeneville, TN Micro Area",42,69077,8.45,5.29,4.09,0.41,0.31,0.61,24.47,17.8,11.6,9.6,3.4,43150,60468
"Greensboro-High Point, NC Metro Area",2133,767467,9.56,5.24,6.65,1.08,0.93,1.26,29.57,17.8,12.2,12.8,4.5,52233,73162
"Greensburg, IN Micro Area",-62,26587,10.11,5.65,2.5,0.83,0.5,0.96,28.31,22.9,14.1,15.8,3.8,60794,71232
"Greenville-Anderson, SC Metro Area",2208,908680,10.03,4.88,5.78,1.21,0.73,2.11,28.94,18.2,12.7,14.2,5.4,57432,79880
"Greenville, MS Micro Area",-306,45072,8.89,5.58,4.61,1.97,0.38,0.5,22.4,16,7.5,6.5,4,32011,54410
"Greenville, NC Metro Area",2921,179961,12.42,4.49,13.93,2.39,0.61,0.74,30.01,17.8,11.6,12.5,4,49337,68434
"Greenville, OH Micro Area",144,51387,8.27,5.91,2.93,0.56,0.3,0.4,29.88,18.5,15.4,13.1,4.1,54799,69444
"Greenwood, MS Micro Area",-587,38736,8.74,5.83,5.09,0.77,0.47,1.08,20.51,12.6,10.6,7.5,3.4,32190,54531
"Greenwood, SC Micro Area",81,70672,8.75,4.59,6.21,0.61,0.48,1.81,25.36,15.5,10.9,9.2,3.3,41081,62824
"Grenada, MS Micro Area",-76,20927,9.13,4.73,2.81,1.88,0.36,0.45,23.45,15.8,7,11.2,2.8,39952,60362
"Guayama, PR Metro Area",0,74291,10.61,5.72,5.49,0.71,0.38,0.35,13.4,7.1,2.5,1.3,0.1,17040,24656
"Gulfport-Biloxi, MS Metro Area",508,414662,9.82,5.1,4.64,0.8,0.85,1.03,28.03,18.2,12.3,12.8,4.1,51058,68740
"Guymon, OK Micro Area",-181,20633,12.55,6.26,4.79,0.7,0.4,0.39,20.82,23.9,12.6,10.2,3.3,50702,59787
"Hagerstown-Martinsburg, MD-WV Metro Area",1225,285990,9.94,5,3.83,0.91,0.87,0.95,28.78,19.2,14.5,16.1,6.8,64118,80343
"Hailey, ID Micro Area",236,23798,7.66,5.78,1.32,0.63,0.1,0.94,29.91,18.5,13.8,16.3,5.5,63543,87632
"Hammond, LA Metro Area",-9,133753,10.71,4.52,6.29,0.68,0.23,0.55,24.67,16,12,13.1,5,48745,67405
"Hanford-Corcoran, CA Metro Area",899,151090,14.98,7.33,6.36,0.77,0.32,0.66,20.43,19.4,14.8,14.9,5.9,61556,75449
"Hannibal, MO Micro Area",-38,38830,8.41,4.45,4.24,0.46,0.21,0.46,28.27,22.6,12.8,14.6,2.5,54250,65071
"Harrisburg-Carlisle, PA Metro Area",437,574691,9.91,4.85,4.63,1.31,1.22,1.58,31.9,19.2,14.8,16.9,6.9,67219,87438
"Harrison, AR Micro Area",234,45278,8.53,4.67,2.57,0.44,0.78,0.75,28.48,18.4,12.7,10.3,2.3,45558,58864
"Harrisonburg, VA Metro Area",1443,134696,11.59,4.31,14.14,1.46,0.79,0.8,26.61,19.5,14.3,14.3,5.2,59261,77843
"Hartford-East Hartford-Middletown, CT Metro Area",3580,1205842,10.19,5.23,6.62,1.68,1.42,2.63,31.76,15.4,12.8,18.3,9.9,78631,104850
"Hastings, NE Micro Area",-511,31541,9.53,4.77,7.39,0.73,0.36,0.52,30.55,18.4,14.2,14.3,4.3,56007,73764
"Hattiesburg, MS Metro Area",1096,168646,10.75,5.04,6.62,1.64,0.6,0.71,25.02,18.8,9.3,12.2,4.1,48231,67866
"Hays, KS Micro Area",-200,28747,14.03,4.3,12.22,1.95,0.76,0.32,33.26,16.7,15.4,16.3,4,57053,73466
"Heber, UT Micro Area",-48,74733,9.06,6.9,4.69,1.17,0.99,2.65,30.61,15.5,13,20.2,9.9,97523,141588
"Helena-West Helena, AR Micro Area",-237,18151,8.23,6.23,2.91,0.72,0.08,0.08,19.84,17.7,7.2,8.4,1.8,33724,46657
"Helena, MT Micro Area",256,80783,8.64,4.5,4.22,1.12,1.32,2.07,34,18.5,13.5,17.4,8.5,66545,85755
"Henderson, NC Micro Area",-274,44614,8.74,5.59,2.69,0.95,0.27,0.72,23.52,17.4,10.4,9.5,2.8,41827,57877
"Hereford, TX Micro Area",-468,18617,10.4,6.54,3,0.56,0.2,0.02,19.07,17.9,13.8,12.7,3.4,49790,63338
"Hermiston-Pendleton, OR Micro Area",1045,88744,11.22,6.4,3.89,0.61,0.12,0.67,25.4,20.7,13.8,13.4,5.2,57791,71264
"Hickory-Lenoir-Morganton, NC Metro Area",-4,367982,9.01,5.01,3.88,0.62,0.43,0.71,27.36,18.7,12.7,12,3.2,49706,66724
"Hillsdale, MI Micro Area",-110,45707,8.81,4.67,5.23,0.62,0.45,0.94,27.41,21,13.4,11.4,2.9,51535,64978
"Hilo, HI Micro Area",-394,201350,8.56,4.45,3.96,1.02,0.79,0.94,27.29,17.1,14,16.2,7.4,65401,86367
"Hilton Head Island-Bluffton, SC Metro Area",175,219290,9.36,4.25,3.58,0.73,0.95,1.7,31.12,17.9,14.5,15.1,7.2,67723,95387
"Hinesville, GA Metro Area",1239,81275,15.71,4.86,5.06,1.28,0.47,0.28,28.42,21.3,12.8,11.6,3.1,50588,61782
"Hobbs, NM Micro Area",-123,70359,11.24,6.02,3.92,0.55,0.14,0.58,20.59,21.2,13.8,14.3,6.3,61867,78407
"Holland, MI Micro Area",-752,117104,8.95,5.54,2.95,0.62,0.48,1.1,28.75,20.1,16,16.5,4.9,65071,79182
"Homosassa Springs, FL Metro Area",-34,147938,6.36,3.72,2.31,0.62,0.54,1.22,34.55,19,10.6,9.4,3.6,45689,61717
"Hood River, OR Micro Area",-364,23270,9.3,6.78,3.1,0.56,0.59,2.1,30.16,18.3,11.5,19.6,7.2,72418,94270
"Hope, AR Micro Area",352,29944,7.78,5.22,2.56,0.7,0.21,0.12,18.92,22.1,11.2,9.1,1.8,44101,55886
"Hot Springs, AR Metro Area",348,99043,8.17,4.11,3.68,0.66,0.6,0.93,28.23,21.6,11.5,9.1,4.1,48150,63905
"Houghton, MI Micro Area",197,37992,15.05,4.66,14.97,2.53,1.17,3.3,30.09,17.4,10.4,11.2,3.7,45386,63413
"Houma-Thibodaux, LA Metro Area",150,209277,10.16,5.32,3.32,0.68,0.33,0.61,24.97,15.7,13.9,12.8,5.6,53267,72628
